"","user_pseudo_id","country","language","cnt_user_engagement","cnt_level_start_quickplay","cnt_level_end_quickplay","cnt_level_complete_quickplay","cnt_level_reset_quickplay","cnt_post_score","cnt_spend_virtual_currency","cnt_ad_reward","cnt_challenge_a_friend","cnt_completed_5_levels","cnt_use_extra_steps","dayofweek","churn7","churn14","vp"
"763","7FDDC95340BC25D0D2BD52328DCADD7E",121,69,223,52,46,35,2,61,4,0,0,1,4,5,0,0,1
"873","4ECE982F87221BF7A2C3642A15329244",121,69,28,6,2,0,2,2,0,0,0,0,0,4,1,1,1
"1101","7107B8B93B285616D099D9010F6AD834",121,69,259,12,10,4,2,33,4,0,0,1,4,4,0,0,1
"1407","1764DE126468943A92164D6E0063E36B",121,69,8,0,0,0,0,0,0,0,0,0,0,5,1,1,1
"2039","4032085C28047CF8EA19354C6DD88A82",111,156,91,6,4,0,1,13,1,0,0,1,1,3,1,1,1
"2064","4C038479B275A5F024A8A7604F92BF38",121,69,24,0,0,0,0,6,0,0,0,1,0,3,1,1,1
"2305","E7F45BD93A980C6443443893DCDC0048",7,24,22,0,0,0,0,6,0,0,0,1,0,5,0,0,1
"2364","B5AD6569D99E82C2EE44E38C3487F49D",7,24,30,6,0,0,0,1,0,0,0,0,0,4,1,1,1
"2559","53C62BFF7D715334B8C3C4904EC34880",121,69,67,14,12,3,0,3,9,1,0,0,9,7,0,0,1
"3321","D4A11F0C6E87988E9DA1475EAF38137A",31,13,71,17,14,10,0,13,0,0,0,0,0,1,0,0,1
"3485","FFB030A91BE1315EE25A6BA619E1D903",111,156,153,0,0,0,0,29,0,0,0,3,0,3,1,1,1
"3507","8BB00DF4D414F28B66E557C9846232AA",121,69,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"3526","99FF1F3E739596EE936E38229B416431",121,69,22,0,0,0,0,1,3,0,0,0,3,2,1,1,1
"3877","6C07A737EA896840697ACE56AC23A3A9",121,69,66,0,0,0,0,20,2,0,0,1,2,7,1,1,1
"3892","BE2B55BEAA4A435D8CB9FE792C9CB605",121,69,92,0,0,0,0,26,0,0,0,1,0,2,0,1,1
"3957","6202381695390EB9E0F6CC22E9E55443",34,16,88,24,14,11,1,12,1,0,0,0,1,7,0,0,1
"4520","210C3692734E251EEF4E952BC57DD998",119,21,19,4,2,2,0,2,0,0,0,0,0,4,0,0,1
"4659","C021984971708350A5394E695922BF35",121,69,13,4,3,1,1,1,0,0,0,0,0,2,0,0,1
"5095","2E03DB1924573F3131EEC916E5444F56",121,69,72,26,25,15,1,15,0,0,0,0,0,5,0,0,1
"6239","248A372CD2ED3B5D62866E77AC6D661B",121,69,214,12,9,0,2,36,20,0,0,1,20,4,1,1,1
"6384","F0DDF083423215EAC2148F4E94ADFCA8",66,69,30,7,5,3,0,5,0,0,0,0,0,1,1,1,1
